DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2009,7.79,p
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2010,13.13,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2011,15.16,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2012,16.71,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2013,14.1,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2014,11.11,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2015,11.35,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2016,10.39,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2017,12.85,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2018,14.03,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2019,13.15,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,AT,2020,11.55,p
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2009,15.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2010,21.77,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2011,22.62,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2012,23,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2013,12.49,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2014,7.14,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2015,6.66,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2016,5.60,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2017,6.16,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2018,7.67,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2019,6.60,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BE,2020,7.99,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2009,12.90,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2010,12.05,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2011,16.46,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2012,18.42,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2013,17.03,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2014,17.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2015,18.47,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2016,17.54,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2017,15.89,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2018,14.50,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2019,16.42,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,BG,2020,16.17,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2009,52.6,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2010,27.20,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2011,44.60,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2012,43.30,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2013,43.10,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2014,38.80,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2015,29.70,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2016,36.50,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2017,30.45,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2018,31.72,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2019,29.52,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CY,2020,29.46,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2009,15.01,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2010,15.10,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2011,24.11,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2012,24.49,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2013,25.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2014,24.04,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2015,23.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2016,20.31,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2017,19.11,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2018,22.22,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2019,27.62,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,CZ,2020,26.23,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2009,11.14,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2010,12.98,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2011,19.55,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2012,20.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2013,18.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2014,15.20,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2015,14.33,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2016,14.15,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2017,14.29,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2018,15.48,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2019,16.33,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2020,15.95,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2009,10.07,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2010,12.49,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2011,17.45,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2012,19.96,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2013,15.59,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2014,13.52,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2015,14.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2016,12.80,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2017,13.20,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2018,16.30,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2019,15.56,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2020,15.35,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2009,6.95,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2010,10.50,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2011,14.74,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2012,16.81,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2013,11.08,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2014,11.02,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2015,11.80,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2016,10.54,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2017,10.68,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2018,13.86,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2019,12.44,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2020,12.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2009,21.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2010,18.26,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2011,18.05,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2012,18.4,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2013,18.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2014,16.44,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2015,16.83,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2016,16.95,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2017,15.70,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2018,17.03,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2019,16.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2020,16.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2009,12.69,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2010,13.97,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2011,18.15,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2012,21.71,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2013,16.73,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2014,16.09,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2015,18.21,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2016,15.77,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2017,14.92,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2018,14.51,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2019,16.98,
